date,temperature,rainfall
2024-07-27,23.9,0.2
2024-07-28,24.7,0
2024-07-29,25.3,0.1
2024-07-30,24.8,0
2024-07-31,24.4,0
2024-08-01,23.5,0.5
2024-08-02,23.0,0
2024-08-03,22.8,0
2024-08-04,23.2,0
2024-08-05,23.9,0.3
2024-08-06,24.5,0
2024-08-07,25.1,0.4
2024-08-08,24.6,0
2024-08-09,24.2,0
2024-08-10,23.7,0.1
2024-08-11,23.1,0
2024-08-12,22.7,0.2
2024-08-13,22.3,0
2024-08-14,22.8,0.1
2024-08-15,23.4,0
2024-08-16,23.9,0
2024-08-17,24.3,0.3
2024-08-18,24.7,0
2024-08-19,24.0,0.2
2024-08-20,23.5,0
2024-08-21,23.1,0
2024-08-22,22.6,0.1
2024-08-23,22.0,0
2024-08-24,21.8,0
2024-08-25,22.3,0
2024-08-27,23.1,0
2024-08-28,23.4,0.2
2024-08-29,23.7,0
2024-08-30,24.0,0.1
2024-08-31,24.3,0
2024-09-01,24.1,0
2024-09-02,23.9,0
2024-09-03,23.6,0.3
2024-09-04,23.2,0
2024-09-05,22.9,0
2024-09-06,22.5,0
2024-09-07,22.3,0.2
2024-09-08,22.0,0
2024-09-09,21.8,0
2024-09-10,21.5,0.4
2024-09-11,21.2,0
2024-09-12,20.9,0
2024-09-13,20.5,0
2024-09-14,20.3,0.1
2024-09-15,20.0,0
2024-09-16,19.8,0
2024-09-17,19.5,0
2024-09-18,19.3,0.2
2024-09-19,19.0,0
2024-09-20,18.7,0.1
2024-09-21,18.5,0
2024-09-22,18.3,0
2024-09-23,18.0,0
2024-09-24,17.8,0.3
2024-09-25,17.5,0
2024-09-26,17.2,0
2024-09-27,17.0,0
2024-09-28,16.8,0.2
