date,temperature,rainfall
2024-06-22,20.5,0
2024-06-23,21.0,0
2024-06-24,22.5,1.2
2024-06-25,23.3,0
2024-06-26,24.1,0.5
2024-06-27,25.2,0
2024-06-28,26.3,0.1
2024-06-29,27.4,0
2024-06-30,28.0,0.4
2024-07-01,27.5,0
2024-07-02,26.8,0.2
2024-07-03,25.9,1.0
2024-07-04,24.7,0
2024-07-05,23.5,0
2024-07-06,22.2,0.3
2024-07-07,21.8,0
2024-07-08,21.1,0
2024-07-09,22.0,0.6
2024-07-10,23.3,0
2024-07-11,24.4,0.1
2024-07-12,25.1,0
2024-07-13,26.2,0
2024-07-14,27.0,0.2
2024-07-15,28.3,0
2024-07-16,29.1,0.5
2024-07-17,28.4,0
2024-07-18,27.8,0.4
2024-07-19,26.5,0
2024-07-20,25.1,0.3
2024-07-21,24.0,0
2024-07-22,23.2,0
2024-07-23,24.5,1.0
2024-07-24,25.0,0
2024-07-25,23.8,0.3
2024-07-26,24.1,0
2024-07-26,24.1,0
